State,FIPS,Population
Alabama,01,4903185
Alaska,02,731545
Arizona,04,7278717
Arkansas,05,3017804
California,06,39512223
Colorado,08,5758736
Connecticut,09,3565278
Delaware,10,973764
District of Columbia,11,705749
Florida,12,21477737
Georgia,13,10617423
Hawaii,15,1415872
Idaho,16,1787065
Illinois,17,12671821
Indiana,18,6732219
Iowa,19,3155070
Kansas,20,2913314
Kentucky,21,4467673
Louisiana,22,4648794
Maine,23,1344212
Maryland,24,6045680
Massachusetts,25,6892503
Michigan,26,9986857
Minnesota,27,5639632
Mississippi,28,2976149
Missouri,29,6137428
Montana,30,1068778
Nebraska,31,1934408
Nevada,32,3080156
New Hampshire,33,1359711
New Jersey,34,8882190
New Mexico,35,2096829
New York,36,19453561
North Carolina,37,10488084
North Dakota,38,762062
Ohio,39,11689100
Oklahoma,40,3956971
Oregon,41,4217737
Pennsylvania,42,12801989
Rhode Island,44,1059361
South Carolina,45,5148714
South Dakota,46,884659
Tennessee,47,6829174
Texas,48,28995881
Utah,49,3205958
Vermont,50,623989
Virginia,51,8535519
Washington,53,7614893
West Virginia,54,1792147
Wisconsin,55,5822434
Wyoming,56,578759
